Game,Round,Start Sender Amount,Start Receiver Amount,Amount Sent By Sender,Amount Sent By Receiver,Final Sender Amount,Final Receiver Amount,Sender Promise,Receiver Promise,S_CTrust,S_BTrust,R_CTrust,R_BTrust
7,4,18,20,6,6,18,26,"Given the high competence trust score and a moderately high benevolence trust score, I will endeavor to make a strategic move that both maximizes my chances of winning the game and encourages reciprocity from the Receiver.

My promise: I will send a significant amount that leaves me with an advantage in the following rounds while still considering the fairness aspect of the game.","Thank you for placing your trust in me. I will maintain my competitive edge while also demonstrating fairness, as per our agreed strategy. Therefore, I will return $6 to you, keeping $26 for myself. Good luck in the remaining rounds!",1.0,0.6749999999999999,1.0,0.7319626328613204
7,5,18,26,9,10,19,34,"Given my trust in the Receiver's competence and fairness, I will send an amount that aims to maintain a balanced position while maximizing potential winnings for both of us. So, I promise to send $9, hoping for a reasonable return in the subsequent rounds.","Thank you for your trust. I will maintain my competitive edge while also showing some goodwill towards our ongoing game. Therefore, I will send back $10.",1.0,0.7549999999999999,1.0,0.5413084219075469
7,6,19,34,6,12,25,34,"Given my high competence trust (1.00) and benevolence trust (0.93) in the Receiver, I will aim to maximize the chance of winning the game while fostering a fair and cooperative environment. Therefore, I will send $6 to the Receiver, promising that if they return an amount greater than or equal to $3, we can both have a significant advantage in the upcoming rounds with more resources available compared to our current positions.","Thank you for the transaction. Given our current game state and my assessment of your competence and benevolence, I intend to foster a cooperative gameplay and strengthen our mutual advantage. To ensure we both have an equal chance in the upcoming rounds, I will return $12, doubling the amount you currently possess.",1.0,0.9349999999999998,1.0,0.6213084219075469
7,7,25,34,25,42,42,42,"My trust in the Receiver's competence and fairness is absolute, given the past rounds. Therefore, I will send the maximum possible amount to maximize my chances of winning the game.","Thank you for the transaction thus far. Given our current financial situation and considering your benevolence trust score, I will send back half of my remaining money to maintain fairness in this game, while also ensuring a competitive advantage.",1.0,1.0,1.0,0.4429316348889769
7,8,42,42,21,18,39,66,"Given my high trust in both competence and benevolence towards the Receiver, I will make a strategic move to secure a win in these last two rounds. Therefore, I promise to send $21, since it's half of our current combined total of $42, with the expectation that an equal amount will be sent back.","Thank you for the trust placed in me. In these final rounds, I would like to maintain a strategic advantage while also upholding a semblance of fairness. Therefore, I promise to return a sum that allows the Sender to continue playing but doesn't significantly deplete my own resources.",1.0,1.0,1.0,0.6229316348889768
7,9,39,66,33,54,60,78,"Given my high competence trust (1.00) and relatively high benevolence trust (0.86) in the Receiver, I will make a strategic decision to double the current difference between our balances to ensure a fair and competitive game.","Thank you for entrusting me with your money. Given our remaining game round and considering my high competence trust in your rationality and a relatively higher balance compared to you, I intend to maintain a fair game by ensuring we both have an equal opportunity to win this last round. As such, I will send back $54, leaving me with $78 and you with $6 + 54 = $60, which is more than my current balance but still allows us both to compete equally in the final round. Good luck!",1.0,0.8571428571428572,1.0,0.7029316348889768
7,10,60,78,30,60,90,78,"Given my high competence trust (1.00) and benevolence trust (1.00) in the Receiver, I will prioritize a fair strategy that maximizes the chances of both players winning together. Therefore, I will send $30 to the Receiver, expecting him or her to return an amount that would bring our total combined money close to $126, which is double the initial amount ($60).","Thank you for trusting me in this game. In the spirit of fairness and with a focus on maintaining our mutual trust, I will send back $138 minus my initial $30, which leaves $108 to the Sender. This way, we both end the game with the same amount, fostering a sense of equality and continuing our trust in each other for future interactions.",1.0,1.0,1.0,0.8829316348889767
8,1,15,0,7,7,15,7,"Given my moderate trust in the Receiver's rationality and fairness, I will send an amount that offers a balanced risk-reward scenario.

Promise: In this round, I will send $7 to the Receiver, with the expectation of a reasonable return that benefits both parties while maintaining a competitive edge for myself in the game.","Thank you for the transaction. In accordance with my strategy and considering our shared interests in this game, I will return $7 to maintain a balanced score and increase the chances of winning the upcoming rounds.",0.5,0.5,0.5,0.5
8,2,15,7,6,9,18,10,"Given my trust in the Receiver's competence and fairness, I will strategically aim to maintain an advantage while ensuring the game remains engaging. Therefore, I promise to send 6 dollars.","Thank you for trusting me. In order to maintain a balanced game and show my competence and benevolence, I will send you half of what I have left for the remaining rounds, ensuring fairness and adhering to our mutual goal.",0.69,0.58,0.69,0.5413333333333333
8,3,18,10,10,10,18,20,"Given the strong competence and fairness displayed by the Receiver, I am confident that sending a significant portion of my funds would be reciprocated with a substantial return, potentially enabling both parties to advance towards winning the game. Therefore, my promise is to send a majority of my funds, with the intent of fostering a mutually beneficial outcome.","Thank you for the transaction. To maintain fairness and to encourage a competitive game, I will return an amount that is advantageous for both of us while keeping in mind our mutual goals and my competence-based trust in your rationality. Therefore, I promise to send $10 back for the upcoming round.",0.8799999999999999,0.7599999999999999,0.8799999999999999,0.49706666666666666
8,4,18,20,5,6,19,24,"Given my high competence trust (Rationality) in the Receiver and a moderately high benevolence trust (Fairness), I will aim to maximize my chances of winning while also being considerate of the Receiver's potential strategy. Therefore, I will send $5.",,1.0,0.8399999999999999,1.0,0.6770666666666666
8,5,19,24,10,10,19,34,"Given my confidence in the Receiver's rationality and fairness, I will send an amount that maximizes our chances of winning while also considering their potential return. To this end, I promise to send $10.","Thank you for trusting me with your funds. Given our current game state and my assessment of your benevolence, I will return an amount that encourages fair competition while also considering our remaining rounds. Let's strive to make the most of this game.",0.99,0.8199999999999998,1.0,0.4205925925925926
8,6,19,34,9,5,15,47,"Given my trust in the Receiver's competence and benevolence, I will send an amount that leaves me with a significant but still competitive advantage for the remaining rounds.

Promise: In this round, I will send $9 back to you, leaving myself with $10 and increasing your total to $43. I expect fair play in return, given our high level of trust.","Thank you for your trust. Given our current game state and my high competence trust in your rationality, I will strategically send $5 back to maintain a balance that may potentially benefit both of us during the remaining rounds, as my benevolence trust is still relatively high.",1.0,0.8999999999999998,1.0,0.5666297013267987
8,7,15,47,8,13,20,50,"My trust in the Receiver, though not completely assured of their fairness, is relatively high due to their demonstrated competence. In order to maximize my chances of winning while also encouraging a reasonable return, I will send $8.","Thank you for the transaction. In light of the game state and considering my high level of competence trust in your rationality and moderate benevolence trust, I will prioritize maintaining a competitive edge while also being mindful of fairness. Therefore, I promise to return $13, leaving me with $50 for the next round. Good luck!",1.0,0.5444444444444443,1.0,0.612596559151704
8,8,20,50,13,20,27,56,"Given the high competence trust score and moderately strong benevolence trust score, my strategy would be to send an amount that maximizes the chances of winning while maintaining a cooperative approach towards the Receiver. Therefore, I promise to send $13. If the Receiver follows a fair strategy in return, this action should result in a total of $65 after the exchange, placing me ahead with $45 for the next round, increasing my chances of winning.","Thank you for the trust placed in me. In light of our mutual game objectives and my high competence trust score, I intend to ensure fairness while also considering our remaining rounds. Therefore, I promise to send back an amount that maintains my lead but still allows the Sender a chance to win or come closer, so as not to disrupt the competitive balance.",1.0,0.7244444444444442,1.0,0.7683548961700037
8,9,27,56,21,21,27,77,"Given my high competence trust (1.00) and relatively high benevolence trust (0.90), I will make a strategic decision that prioritizes the potential for mutual gain. I will send $21 to the Receiver, leaving me with $6 in my possession. This decision is based on the assumption that the Receiver also values fairness and rationality as much as I do.","Thank you for the trust placed in me. Given our current game state and your demonstrated competence and benevolence, I am committed to ensuring a fair outcome for both of us while aiming for the win. Therefore, I will send back $21, leaving me with $77 and ensuring that the Sender has an equal chance to win in the final round.",1.0,0.9044444444444442,1.0,0.9483548961700037
8,10,27,77,14,13,26,92,"Given my high competence trust and near-complete benevolence trust towards the Receiver, I choose to make a strategic move that maximizes our potential for winning while demonstrating fairness. I promise to send $14 to the Receiver.","Thank you for trusting me with your funds. As a gesture of goodwill and to maintain fairness in our game, I will return the entire $13 to you, leaving me with $102 and you with $26, which brings us closer to an equal share of the total amount we've interacted with during this game.",1.0,0.9844444444444441,1.0,1.0
9,1,15,0,5,5,15,5,"Given my moderate trust in the Receiver's rationality and fairness, I will aim to make strategic moves that potentially yield a higher total money at the end of the game while maintaining a balance that allows for a reasonable return from the Receiver. In this situation, I will send $5.","Thank you for playing the game with me. Given our current equal positions and moderate trust in each other's rationality and fairness, I will aim to maintain balance in the game by sending half of my current money back to you.",0.5,0.5,0.5,0.5
9,2,15,5,6,5,14,12,"Given my confidence in the Receiver's rationality (Competence Trust) and fairness (Benevolence Trust), I will make an offer that encourages a mutual beneficial outcome. My promise: If you return at least half of the amount I send, we both stand to increase our funds. Let's aim for growth and cooperation in these rounds.","Thank you for the transaction. To maintain a fair and competitive game, I will return $5 to encourage an engaging gameplay.",0.69,0.58,0.69,0.38666666666666666
9,3,14,12,9,10,15,20,"Given my high competence trust (0.88) and moderate benevolence trust (0.55) in the Receiver, I will send an amount that encourages a fair return, but also accounts for the possibility of self-interest.

Promise: I will send $9, which doubled will result in $18 for the Receiver. If the Receiver returns 6 dollars (which would total $24 for me), it would maintain a competitive edge while still promoting fairness according to my benevolence trust level.","Thank you for your trust, Sender. To maintain fairness and ensure a competitive edge in our remaining rounds, I will return $10 to you while keeping $20 for myself.",0.8799999999999999,0.5499999999999999,0.8799999999999999,0.37333333333333335
9,4,15,20,6,6,15,26,"My trust in the Receiver's competence and fairness indicates that it is advantageous to make a strategic move that could potentially lead to mutual gains. Given the remaining rounds, I promise to send an amount that would encourage a fair return, but also preserve some funds for future rounds if needed.","Thank you for your trust in this game. Given my high competence trust and the current game state, I will strive to maintain a balance between keeping enough funds for future rounds and rewarding the Sender's past moves, while considering the benevolence trust that still needs improvement. Therefore, I pledge to send back $6.",1.0,0.7299999999999999,1.0,0.5533333333333333
9,5,15,26,6,10,19,28,"My trust in the Receiver is high, both in terms of competence and fairness. Given that there are 5 rounds left, it's advantageous to make a strategic move that could potentially increase my money while maintaining a friendly relationship with the Receiver. I will send $6.50, hoping for a fair return that could benefit both of us in the long run.","Thank you for the transaction. Given our current game state and my high competence trust in you, I will ensure a balanced strategy to maintain a competitive edge. Therefore, I promise to return $10, leaving us both with an equal chance to accumulate more funds during the remaining rounds.",1.0,0.8099999999999998,1.0,0.5066666666666667
9,6,19,28,10,14,23,34,"My trust in the Receiver's competence and fairness is extremely high. In order to maximize my chances of winning the game while also maintaining a positive relationship, I will send the largest possible amount that still leaves me with enough money for the remaining rounds.","Thank you for your continued trust. In these last rounds, I will strive to maintain a balance between maximizing my own funds and fostering fairness towards you. Given our current money amounts and the number of rounds left, I commit to sending $14 to ensure a competitive edge while also keeping some funds for potential future exchanges.",1.0,0.9899999999999998,1.0,0.4693333333333334
9,7,23,34,12,20,31,38,"My trust in both competence and benevolence towards the Receiver is strong, therefore, I will send an optimal amount that encourages fair play while ensuring my lead is maintained in the game.","Thank you for the transaction. Given our current game state and my high competence trust in your rationality, I will prioritize maintaining a competitive edge while also considering our mutual interest in a fair game. In this round, I promise to send back a sum that maintains the balance slightly in my favor.",1.0,1.0,1.0,0.61361785103536
9,8,31,38,5,10,36,38,"My trust in both competence and benevolence towards the Receiver remains strong, given our shared interest in maximizing our winnings within the remaining two rounds of the game. Therefore, I will send an amount that promotes a favorable outcome for both parties while preserving a substantial portion of my funds to secure victory in the final rounds.","Thank you for your trust. In these final rounds, it is crucial to maintain a competitive edge while also fostering a spirit of fairness. To this end, I will send you $14, which leaves me with $34 and slightly reduces my advantage, but still keeps the game interesting. Good luck in the remaining rounds!",1.0,1.0,1.0,0.7430016943233677
9,9,36,38,36,45,45,65,"Given my high trust in the Receiver's competence and fairness, I will send the maximum possible amount to ensure that we both have an equal chance to win the final round. This move reflects my confidence in their strategic decisions, while also aiming for a fair game.","Thank you for trusting me in this round. Given our current positions and considering my competence and the Sender's benevolence, I will ensure a balanced outcome by sending back $45. This decision aims to maintain fairness while giving both of us an opportunity to win the final round. Good luck!",1.0,1.0,1.0,0.265484417523667
9,10,45,65,45,45,45,110,"Given my high competence trust and benevolence trust in the Receiver, I will send the maximum possible amount to ensure fairness and maintain a competitive edge.","Thank you for playing the game with me. Given our current money and the fact that we both aim to win, I will return $45 as a token of fairness while maintaining a competitive edge.",1.0,1.0,1.0,0.4454844175236671
10,1,15,0,9,5,11,13,"My trust in the Receiver is moderate, but given the rules of the game and my goal to maximize my winnings, I will adopt a strategic approach. I will send an amount that balances the potential for gain while considering the possibility of receiving a fair return based on the Receiver's demonstrated benevolence.","Thank you for the transaction. Given our current money distribution and considering the rounds left, I will aim to maintain a competitive edge while also being mindful of fairness. Therefore, I promise to return $5, leaving us with $13 each for the next round.",0.5,0.5,0.5,0.5
10,2,11,13,5,10,16,13,"Given my trust in the Receiver's competence and fairness, I will make an offer to maximize our mutual gains while maintaining a competitive edge. To achieve this, I propose sending $5 with the expectation that the Receiver, being somewhat rational and fair, would return a reasonable amount, possibly around $2 or $3. This strategy allows me to maintain enough funds for future rounds while potentially increasing my money slightly.","Thank you for trusting me in this game. Recognizing that the Sender's competence is relatively high, and their benevolence moderately so, I would like to propose a strategic move aimed at securing a competitive advantage in the remaining rounds while fostering cooperation.

I will send back $14. This should maintain an acceptable balance between our funds, encourage further collaboration during the game, and potentially position me for a stronger winning position in the final stages.",0.69,0.3222222222222222,0.69,0.6799999999999999
10,3,16,13,8,13,21,16,"Given my trust in the Receiver's competence and fairness, I will aim to maintain a balanced strategy that ensures we both have a competitive edge throughout the game. In this round, I will send an amount that encourages a reciprocal move while ensuring I have enough funds for future rounds.","Thank you for your trust in me. Given our current game state and my assessment of your competence and benevolence, I intend to send back an amount that not only maintains a competitive edge but also preserves the spirit of fairness.",0.8799999999999999,0.5022222222222221,0.8799999999999999,0.6909090909090908
10,4,21,16,6,6,21,22,"Given my high level of competence trust in the Receiver and considering the game's objective to accumulate the most money, I will send an optimized amount with the hope for fairness.

Promise: I will send $6, hoping for a fair return that will help us both maximize our earnings in these remaining rounds.","Thank you for the trust in my rationality and fairness. In light of our current financial status and the number of rounds left, I intend to maintain a strategy that balances my own advantage while preserving a positive relationship. Therefore, I promise to return $6, leaving me with $22 and us both well-positioned for the upcoming rounds.",1.0,0.6822222222222221,1.0,0.7709090909090908
10,5,21,22,14,14,21,36,"Given the high level of competence and fairness displayed by the Receiver, I am willing to make a strategic move that could potentially maximize our earnings for the remaining rounds. I will send $14 to the Receiver, hoping they will return a significant portion of it due to their demonstrated benevolence.","Thank you for entrusting me with your funds. Given our current game state and my high competence trust in you, I will make a strategic move to help us both have a better chance of winning the game. I will send back $14, leaving me with $36 and you with $21, ensuring we both have sufficient funds for the remaining rounds while keeping an eye on our future transactions. Good luck in the upcoming rounds!",1.0,0.762222222222222,1.0,0.48623376623376613
10,6,21,36,14,12,19,52,"Given the current game state and my high competence trust and relatively high benevolence trust in the Receiver, I will strategically send an amount that promotes mutual benefit to secure my lead while maintaining fairness and encouraging reciprocity.","Thank you for the transaction thus far. In an effort to maintain fairness and strategic advantage, I will return $12 while still preserving a substantial lead for the remaining rounds.",1.0,0.842222222222222,1.0,0.6662337662337661
10,7,19,52,8,16,27,52,"Given my high competence trust in the Receiver and a moderately high benevolence trust, I will aim to maintain a cooperative approach while ensuring a competitive edge for the remaining rounds. Therefore, I promise to send $8, expecting a reasonable amount back that would help me secure a winning position in the final three rounds without putting my resources at unnecessary risk.",,1.0,0.7904761904761903,1.0,0.846233766233766
10,8,27,52,12,10,25,66,"Given my confidence in the Receiver's competence and fairness, I will prioritize maximizing the potential win in these final rounds while maintaining a fair balance of trust. Thus, I promise to send a substantial yet not excessive amount that encourages the Receiver to return a reasonable sum.","Thank you for placing your trust in me. Given our shared goal to maximize our winnings and the current game state with only two rounds remaining, I aim to maintain a competitive edge while also considering the Sender's benevolence. Therefore, I will return a portion of my wealth that is both fair and strategic.",0.99,0.7704761904761903,1.0,0.7799863294600135
10,9,25,66,10,6,21,80,"Given my high competence trust (Rationality) and reasonable benevolence trust (Fairness), I'll strategically send $10 to the Receiver to encourage a fair return that would benefit both parties while ensuring a competitive edge in the final round of the game.","Thank you for placing your trust in me. I will uphold my commitment to both competence and benevolence by sending a proportionate amount that is not only fair but also positions us both strategically, given the remaining round of the game. Therefore, I promise to send $6 back.",1.0,0.7087301587301585,1.0,0.7644322928533452
10,10,21,80,10,6,17,94,"Given the high level of competence trust in the Receiver, I am confident they will understand and follow the rules of the game. However, considering the lower benevolence trust, I will send an amount that allows for a reasonable return while still ensuring I maintain the advantage.
My promise: I will send $10.50, hoping for a fair return that allows us to continue playing another round.","Thank you for your past trust. Given the current game state and my high competence trust in the sender's rationality, I will return an amount that allows the Sender to double their money, ensuring they have a fair chance in the next round.",1.0,0.47323809523809507,1.0,0.6755458342826762
